;WEEK_PRI;YEAR_PRI;SOROTIPO;CASES
1240;46;2015; ;38
1241;46;2016; ;45
1242;46;2016;4;1
1243;46;2017; ;35
1244;46;2018; ;50
1245;46;2019; ;37
1246;46;2020; ;7
1247;46;2021; ;16
1248;46;2022; ;32
1249;46;2022;1;1
1250;46;2022;2;1
1251;46;2023; ;204
1252;46;2023;1;57
1253;46;2023;2;18
1254;47;2007; ;138
1255;47;2007;3;1
1256;47;2008; ;47
1257;47;2009; ;6
1258;47;2010; ;65
1259;47;2010;2;1
1260;47;2011; ;454
1261;47;2011;1;1
1262;47;2012; ;34
1263;47;2013; ;10
1264;47;2014; ;14
1265;47;2015; ;36
1266;47;2016; ;51
1267;47;2016;4;2
1268;47;2017; ;39
1269;47;2018; ;45
1270;47;2019; ;37
1271;47;2020; ;5
1272;47;2021; ;11
1273;47;2021;2;1
1274;47;2022; ;15
1275;47;2022;1;2
1276;47;2022;2;2
1277;47;2023; ;260
1278;47;2023;1;144
1279;47;2023;2;31
1280;48;2005; ;1
1281;48;2007; ;120
1282;48;2007;3;3
1283;48;2008; ;36
1284;48;2009; ;4
1285;48;2010; ;83
1286;48;2010;1;1
1287;48;2011; ;456
1288;48;2011;1;1
1289;48;2012; ;43
1290;48;2012;1;1
1291;48;2013; ;16
1292;48;2014; ;20
1293;48;2015; ;58
1294;48;2016; ;53
1295;48;2016;4;1
1296;48;2017; ;26
1297;48;2018; ;74
1298;48;2019; ;42
1299;48;2020; ;11
1300;48;2021; ;17
1301;48;2022; ;25
1302;48;2022;2;2
1303;48;2023; ;271
1304;48;2023;1;144
1305;48;2023;2;35
1306;48;2023;4;1
1307;49;2007; ;134
1308;49;2007;2;1
1309;49;2007;3;1
1310;49;2008; ;60
1311;49;2009; ;3
1312;49;2009;3;1
1313;49;2010; ;99
1314;49;2011; ;577
1315;49;2011;1;5
1316;49;2012; ;47
1317;49;2013; ;23
1318;49;2014; ;10
1319;49;2015; ;72
1320;49;2015;1;1
1321;49;2016; ;68
1322;49;2016;4;3
1323;49;2017; ;47
1324;49;2018; ;93
1325;49;2019; ;35
1326;49;2020; ;9
1327;49;2021; ;18
1328;49;2021;2;1
1329;49;2022; ;23
1330;49;2022;1;1
1331;49;2023; ;338
1332;49;2023;1;162
1333;49;2023;2;39
1334;50;2003; ;1
1335;50;2007; ;205
1336;50;2007;2;1
1337;50;2008; ;42
1338;50;2009; ;10
1339;50;2010; ;149
1340;50;2010;1;1
1341;50;2011; ;665
1342;50;2011;1;5
1343;50;2012; ;82
1344;50;2012;4;5
1345;50;2013; ;16
1346;50;2014; ;5
1347;50;2015; ;64
1348;50;2016; ;65
1349;50;2016;4;3
1350;50;2017; ;46
1351;50;2018; ;98
1352;50;2019; ;49
1353;50;2020; ;4
1354;50;2021; ;5
1355;50;2021;2;1
1356;50;2022; ;38
1357;50;2022;1;5
1358;50;2022;2;2
1359;50;2023; ;381
1360;50;2023;1;225
1361;50;2023;2;51
1362;51;2007; ;247
1363;51;2007;3;1
1364;51;2008; ;35
1365;51;2009; ;6
1366;51;2010; ;111
1367;51;2010;1;1
1368;51;2011; ;507
1369;51;2011;1;2
1370;51;2012; ;51
1371;51;2012;4;1
1372;51;2013; ;7
1373;51;2014; ;9
1374;51;2014;4;1
1375;51;2015; ;59
1376;51;2015;1;2
1377;51;2016; ;90
1378;51;2017; ;35
1379;51;2018; ;80
1380;51;2019; ;46
1381;51;2020; ;5
1382;51;2021; ;6
1383;51;2022; ;27
1384;51;2022;1;6
1385;51;2022;2;2
1386;51;2023; ;386
1387;51;2023;1;156
1388;51;2023;2;65
1389;52;2001; ;1
1390;52;2007; ;227
1391;52;2008; ;28
1392;52;2009; ;9
1393;52;2010; ;105
1394;52;2010;1;1
1395;52;2011; ;479
1396;52;2011;1;3
1397;52;2011;4;2
1398;52;2012; ;75
1399;52;2012;1;2
1400;52;2012;4;3
1401;52;2013; ;7
1402;52;2014; ;10
1403;52;2015; ;69
1404;52;2016; ;76
1405;52;2016;4;1
1406;52;2017; ;41
1407;52;2018; ;108
1408;52;2019; ;42
1409;52;2020; ;5
1410;52;2021; ;1
1411;52;2022; ;22
1412;52;2022;1;4
1413;52;2022;2;2
1414;52;2023; ;222
1415;52;2023;1;126
1416;52;2023;2;50
1417;53;2008; ;30
1418;53;2014; ;8
1419;53;2020; ;3
